Title,Rating,Price,Stock,Category
A Light in the Attic,3,61.5,22,Poetry
Tipping the Velvet,1,63.9,20,Historical Fiction
Soumission,1,59.5,20,Fiction
Sharp Objects,4,56.8,20,Mystery
Sapiens: A Brief History of Humankind,5,64.4,20,History
The Requiem Red,1,26.9,19,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,4,39.6,19,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,21.3,19,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,26.9,19,Default
The Black Maria,1,62.0,19,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",2,16.6,19,Default
Shakespeare's Sonnets,4,24.5,19,Poetry
Set Me Free,5,20.7,19,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,62.1,19,Sequential Art
Rip it Up and Start Again,5,41.6,19,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,68.0,19,Music
Olio,1,28.4,19,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,1,44.7,19,Science Fiction
Libertarianism for Beginners,2,61.0,19,Politics
It's Only the Himalayas,2,53.7,19,Travel
In Her Wake,1,15.3,19,Thriller
How Music Works,2,44.3,19,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,36.3,19,Food and Drink
Chase Me (Paris Nights #2),5,30.0,19,Romance
Black Dust,5,41.0,19,Romance
Birdsong: A Story in Pictures,3,64.9,19,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,26.7,19,Default
Aladdin and His Wonderful Lamp,3,63.1,19,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,47.9,18,Nonfiction
Wall and Piece,4,52.5,18,Art
The Four Agreements: A Practical Guide to Personal Freedom,5,21.0,18,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,36.9,18,Nonfiction
The Elephant Tree,5,28.3,18,Thriller
The Bear and the Piano,1,43.8,18,Childrens
Sophie's World,5,18.9,18,Philosophy
Penny Maybe,3,39.6,18,Default
Maude (1883-1993):She Grew Up with the country,2,21.4,18,Default
"In a Dark, Dark Wood",1,23.3,18,Mystery
Behind Closed Doors,4,62.0,18,Thriller
You can't bury them all: Poems,2,40.0,17,Poetry
Slow States of Collapse: Poems,3,68.1,17,Poetry
Reasons to Stay Alive,2,31.4,17,Nonfiction
Private Paris (Private #10),5,56.6,17,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,27.5,17,Nonfiction
Without Borders (Wanderlove #1),2,53.6,16,New Adult
When We Collided,1,37.7,16,Contemporary
"We Love You, Charlie Freeman",5,59.7,16,Fiction
Untitled Collection: Sabbath Poems 2014,4,17.0,16,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,52.5,16,Nonfiction
Unicorn Tracks,3,22.3,16,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,30.3,16,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,19.3,16,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,37.0,16,Nonfiction
This One Summer,4,23.2,16,Sequential Art
Thirst,5,20.5,16,Fiction
The Torch Is Passed: A Harding Family Story,1,22.7,16,Add a comment
The Secret of Dreadwillow Carse,1,66.7,16,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,67.0,16,Food and Drink
The Past Never Ends,4,67.1,16,Mystery
The Natural History of Us (The Fine Art of Pretending #2),3,53.7,16,Young Adult
The Nameless City (The Nameless City #1),4,45.3,16,Sequential Art
The Murder That Never Was (Forensic Instincts #5),3,64.3,16,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,51.0,16,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,28.4,16,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,19.9,16,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,24.5,16,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,44.1,16,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,66.6,16,Nonfiction
The Death of Humanity: and the Case for Life,4,69.0,16,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,58.3,16,Health
The Art Forger,3,48.4,16,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,23.4,16,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,38.3,16,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,49.7,16,Nonfiction
Soul Reader,2,47.0,16,Default
Security,2,46.6,16,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,29.7,16,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,60.6,16,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,2,23.6,16,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,59.9,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,16.2,16,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),5,15.9,16,Fantasy
"Pop Gun War, Volume 1: Gift",1,22.5,16,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,43.1,16,History
Patience,3,12.1,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,18.3,16,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,57.5,16,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,1,55.1,16,Self Help
On a Midnight Clear,3,16.7,16,Add a comment
Obsidian (Lux #1),2,17.7,16,Young Adult
My Paris Kitchen: Recipes and Stories,2,39.6,16,Food and Drink
Masks and Shadows,2,67.0,16,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,16.7,16,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,55.7,16,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,54.2,16,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,23.7,16,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",1,47.7,16,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,64.0,16,Add a comment
Join,5,42.4,16,Science Fiction
In the Country We Love: My Family Divided,4,26.1,16,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,68.2,16,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,34.7,16,Sequential Art
I am a Hero Omnibus Volume 1,3,64.9,16,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,1,54.7,16,Self Help
Her Backup Boyfriend (The Sorensen Family #1),1,40.4,16,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",2,26.3,16,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,35.3,16,Historical Fiction
First and First (Five Boroughs #3),4,19.0,16,Romance
Fifty Shades Darker (Fifty Shades #2),1,26.1,16,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,64.6,16,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,45.1,16,Religion
Danganronpa Volume 1,4,61.8,16,Sequential Art
Crown of Midnight (Throne of Glass #2),3,51.4,16,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",4,43.6,16,Sequential Art
Camp Midnight,4,20.3,16,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,34.6,16,Nonfiction
Burning,3,34.2,16,Young Adult
Bossypants,2,58.8,16,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,45.1,16,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,33.4,16,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,1,36.6,16,Nonfiction
A World of Flavor: Your Gluten Free Passport,1,51.0,16,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,67.4,16,Default
A Murder in Time,1,19.8,16,Mystery
A Flight of Arrows (The Pathfinders #2),5,66.0,16,Historical Fiction
A Fierce and Subtle Poison,4,33.4,16,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),1,62.2,16,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,5,64.2,16,Christian
You Are What You Love: The Spiritual Power of Habit,4,26.0,15,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,51.4,15,Science Fiction
Tuesday Nights in 1980,2,25.0,15,Fiction
Tracing Numbers on a Train,3,49.4,15,Default
Throne of Glass (Throne of Glass #1),3,41.7,15,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,1,70.9,15,History
Thirteen Reasons Why,1,62.6,15,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,69.0,15,Childrens
The Wedding Dress,1,28.7,15,Romance
The Vacationers,4,50.1,15,Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,5,15.0,15,Business
The Stranger,4,20.7,15,Philosophy
The Shadow Hero (The Shadow Hero),1,39.4,15,Sequential Art
The Secret (The Secret #1),4,32.5,15,Default
The Regional Office Is Under Attack!,5,61.0,15,Fiction
The Psychopath Test: A Journey Through the Madness Industry,2,42.8,15,Default
The Project,1,12.7,15,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,2,51.7,15,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,2,45.4,15,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,44.4,15,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),4,52.4,15,Mystery
The Mistake (Off-Campus #2),3,51.4,15,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),1,66.4,15,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,2,44.7,15,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1,13.0,15,Crime
The Kite Runner,4,49.7,15,Default
The House by the Lake,1,43.9,15,Historical Fiction
The Glittering Court (The Glittering Court #1),1,52.6,15,Fantasy
The Girl on the Train,2,65.4,15,Default
The Genius of Birds,1,20.5,15,Nonfiction
The Emerald Mystery,2,27.5,15,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,1,49.0,15,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,38.0,15,Default
The Artist's Way: A Spiritual Path to Higher Creativity,5,45.7,15,Nonfiction
The Art of War,5,39.6,15,Default
The Argonauts,2,13.0,15,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,32.7,15,Business
Suddenly in Love (Lake Haven #1),2,66.5,15,Romance
Something More Than This,4,19.3,15,Romance
Soft Apocalypse,2,31.0,15,Science Fiction
So You've Been Publicly Shamed,2,14.5,15,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,2,28.5,15,Business
"Shobu Samurai, Project Aryoku (#3)",3,34.5,15,Add a comment
Secrets and Lace (Fatal Hearts #1),1,24.1,15,Default
Scarlett Epstein Hates It Here,5,51.7,15,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,1,43.9,15,Default
Redeeming Love,5,24.3,15,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,1,48.8,15,Default
Poems That Make Grown Women Cry,4,16.9,15,Poetry
"Nightingale, Sing",1,45.5,15,Young Adult
Night Sky with Exit Wounds,1,48.8,15,Poetry
Mrs. Houdini,5,35.9,15,Historical Fiction
Modern Romance,5,33.6,15,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1,12.8,15,Default
Louisa: The Extraordinary Life of Mrs. Adams,2,20.0,15,Biography
Little Red,3,16.0,15,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,57.7,15,Young Adult
Large Print Heart of the Pride,2,22.8,15,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,68.2,15,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),1,51.1,15,Fantasy
Grumbles,2,26.3,15,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,58.7,15,Travel
Frostbite (Vampire Academy #2),5,35.6,15,Young Adult
Follow You Home,1,25.4,15,Horror
First Steps for New Christians (Print Edition),1,34.5,15,Default
Finders Keepers (Bill Hodges Trilogy #2),5,63.6,15,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,49.5,15,Sequential Art
Eureka Trivia 6.0,4,64.9,15,Default
Drive: The Surprising Truth About What Motivates Us,4,41.5,15,Default
Done Rubbed Out (Reightman & Bailey #1),5,44.8,15,Default
Doing It Over (Most Likely To #1),3,42.3,15,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,50.1,15,Food and Drink
Dark Notes,5,22.8,15,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3,23.1,15,Nonfiction
Close to You,4,58.8,15,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,2,44.9,15,Spirituality
Big Magic: Creative Living Beyond Fear,3,36.6,15,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,2,32.6,15,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),2,13.2,15,Default
Batman: The Long Halloween (Batman),2,43.4,15,Sequential Art
Batman: The Dark Knight Returns (Batman),5,18.3,15,Sequential Art
Ayumi's Violin,2,18.4,15,Default
Anonymous,4,55.6,15,Default
Amy Meets the Saints and Sages,3,21.9,15,Default
Amid the Chaos,1,43.5,15,Cultural
Amatus,5,60.1,15,Default
Agnostic: A Spirited Manifesto,5,14.9,15,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,3,29.3,14,History
You (You #1),5,51.8,14,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,44.4,14,Sequential Art
Wild Swans,2,17.1,14,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,4,62.6,14,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,45.4,14,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,2,23.3,14,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,64.0,14,Sequential Art
Walt Disney's Alice in Wonderland,5,15.4,14,Childrens
V for Vendetta (V for Vendetta Complete),4,44.1,14,Default
Until Friday Night (The Field Party #1),2,55.0,14,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2,54.6,14,Default
Twenty Yawns,2,26.2,14,Childrens
Through the Woods,2,30.2,14,Sequential Art
This Is Where It Ends,2,32.2,14,Young Adult
The Year of Magical Thinking,2,51.1,14,Nonfiction
The Wright Brothers,4,67.5,14,Default
The White Queen (The Cousins' War #1),5,30.8,14,Add a comment
The Wedding Pact (The O'Malleys #2),3,38.7,14,Romance
The Time Keeper,5,33.1,14,Fiction
The Testament of Mary,4,62.6,14,Fiction
The Star-Touched Queen,5,54.7,14,Fantasy
The Songs of the Gods,5,52.8,14,Default
The Song of Achilles,5,44.4,14,Add a comment
The Rosie Project (Don Tillman #1),1,64.2,14,Default
The Power of Habit: Why We Do What We Do in Life and Business,3,20.1,14,Default
The Marriage of Opposites,4,33.4,14,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,1,12.4,14,Psychology
The Long Haul (Diary of a Wimpy Kid #9),1,52.4,14,Humor
The Loney,1,27.8,14,Horror
The Literature Book (Big Ideas Simply Explained),3,20.7,14,Nonfiction
The Last Mile (Amos Decker #2),2,64.4,14,Mystery
The Immortal Life of Henrietta Lacks,2,48.3,14,Add a comment
The Hidden Oracle (The Trials of Apollo #1),2,62.1,14,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3,34.2,14,Food and Drink
The Guilty (Will Robie #4),2,16.4,14,Thriller
The First Hostage (J.B. Collins #2),3,30.7,14,Fiction
The Dovekeepers,1,58.0,14,Add a comment
The Darkest Lie,5,42.0,14,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),4,53.1,14,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,1,18.7,14,Nonfiction
The 14th Colony (Cotton Malone #11),1,46.6,14,Thriller
That Darkness (Gardiner and Renner #1),1,16.5,14,Mystery
Tastes Like Fear (DI Marnie Rome #3),1,12.7,14,Mystery
Take Me with You,3,53.7,14,Fiction
Swell: A Year of Waves,1,54.2,14,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,14.1,14,Sequential Art
Still Life with Bread Crumbs,3,31.4,14,Fiction
Steve Jobs,5,46.9,14,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4,53.2,14,Science
Someone Like You (The Harrisons #2),5,62.7,14,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,42.1,14,Sequential Art
Shtum,4,66.3,14,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,3,58.1,14,Travel
salt.,4,55.6,14,Poetry
Robin War,3,56.8,14,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2,30.3,14,Sequential Art
Rain Fish,3,28.0,14,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5,60.5,14,Poetry
Pet Sematary,3,12.5,14,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",3,62.0,14,Self Help
Once Was a Time,2,21.7,14,Childrens
Old School (Diary of a Wimpy Kid #10),5,14.1,14,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2,26.1,14,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",2,45.6,14,Sequential Art
My Name Is Lucy Barton,1,49.4,14,Fiction
My Mrs. Brown,3,29.1,14,Fiction
My Kind of Crazy,1,48.0,14,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),1,34.3,14,Fiction
More Than Music (Chasing the Dream #1),2,44.7,14,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,5,46.2,14,Business
Luis Paints the World,3,64.1,14,Childrens
Luckiest Girl Alive,3,59.2,14,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),2,61.2,14,Sequential Art
Love Is a Mix Tape (Music #1),1,21.4,14,Music
Looking for Lovely: Collecting the Moments that Matter,5,34.6,14,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4,55.7,14,Default
Let It Out: A Journey Through Journaling,5,31.8,14,Nonfiction
Lady Midnight (The Dark Artifices #1),5,19.3,14,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1,23.2,14,Food and Drink
Island of Dragons (Unwanteds #7),1,35.2,14,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,4,30.9,14,Humor
I Am Pilgrim (Pilgrim #1),4,12.6,14,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",5,17.5,14,Humor
"Hush, Hush (Hush, Hush #1)",3,55.9,14,Default
Hold Your Breath (Search and Rescue #1),1,34.2,14,Romance
Hamilton: The Revolution,3,69.9,14,Nonfiction
Greek Mythic History,5,12.2,14,Default
God: The Most Unpleasant Character in All Fiction,5,35.7,14,Religion
Glory over Everything: Beyond The Kitchen House,3,54.5,14,Historical Fiction
Feathers: Displays of Brilliant Plumage,3,58.3,14,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",4,17.9,14,Nonfiction
Every Last Word,3,55.2,14,Default
Eligible (The Austen Project #4),3,32.2,14,Fiction
El Deafo,5,68.5,14,Sequential Art
Eight Hundred Grapes,4,17.1,14,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5,61.5,14,Nonfiction
